,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
27,0.075164084,0.063323509,0.015310733,0.043771055,0.114756204,0.19282328,0.268284391,0.334275512,0.388204082,0.430358016,0.462546658,0.487181308,0.50669455,0.52321237
28,0.129071063,0.130477737,0.101688932,0.062753808,0.015124241,0.034902155,0.079677021,0.115098274,0.140310514,0.156296304,0.164928091,0.168374282,0.168711477,0.167699234
29,0.087603481,0.128656952,0.203374733,0.260675476,0.323566014,0.393663975,0.462720141,0.524918301,0.578669514,0.62489935,0.665227984,0.700966655,0.732840765,0.761094891
30,0.107555966,0.086209635,0.035813111,0.026898489,0.092345447,0.154358356,0.210429186,0.259880685,0.302720723,0.339395849,0.370741494,0.397840467,0.421828695,0.443734396
31,0.006651733,0.086729057,0.058416108,0.008379998,0.068902245,0.10145438,0.105324117,0.087687086,0.056051323,0.016416159,0.026765439,0.070342745,0.112219584,0.151125173
32,0.078119434,0.023791986,0.027598962,0.004961082,0.036507512,0.050136035,0.045542054,0.028154944,0.003377414,0.024676844,0.053076482,0.07981392,0.103604679,0.123729284
33,0.168323406,0.160361345,0.13181469,0.091813936,0.045714817,0.002658474,0.051807501,0.100737406,0.148218435,0.193140426,0.23490327,0.273470376,0.309196108,0.342606467
34,0.07592128,0.068269055,0.138438396,0.240965277,0.332800309,0.39219349,0.419045678,0.421140982,0.406313545,0.38072284,0.348970579,0.314420408,0.279454687,0.245681399
35,0.145126677,0.215677071,0.199376498,0.219041239,0.30636935,0.394888587,0.461874473,0.509328171,0.54184895,0.562752642,0.574710272,0.580308835,0.58206444,0.582218702
36,0.059320749,0.100353257,0.162595819,0.240165938,0.322351817,0.400767498,0.470342855,0.528677532,0.575279309,0.610914135,0.636984237,0.655066559,0.666655417,0.673056166
37,0.243632141,0.189007803,0.278241166,0.435406883,0.602448546,0.749405526,0.869625789,0.965854154,1.04243885,1.103246673,1.151458928,1.189683733,1.220044646,1.244235082
38,0.090894378,0.06891097,0.093594767,0.126681218,0.159159659,0.188707803,0.21288277,0.229696095,0.23832527,0.238891627,0.232012764,0.21849949,0.199214991,0.175023709
39,0.206058396,0.293386194,0.368235799,0.439276182,0.497026315,0.532354326,0.543549091,0.534418018,0.510310051,0.475983446,0.435015149,0.389881185,0.342234378,0.293181965
40,0.153891988,0.173492769,0.159268781,0.139398631,0.126640829,0.120564106,0.114540476,0.104022828,0.087870016,0.066731431,0.04174052,0.013956339,0.015768725,0.04676336
41,0.20205041,0.225101929,0.183571061,0.239263166,0.375853306,0.511152706,0.629957754,0.733689509,0.823761744,0.900895038,0.966201044,1.021426861,1.068668572,1.110003344
42,0.286748054,0.331843525,0.482130964,0.685579632,0.894555003,1.078813574,1.231344568,1.356595502,1.461122927,1.550381503,1.628305136,1.69757786,1.759950508,1.816500764
43,0.288882867,0.286871748,0.413013389,0.589354039,0.758816245,0.889784578,0.978742665,1.035808622,1.073014283,1.099717146,1.121847047,1.142541396,1.163072413,1.183641355
44,0.096234043,0.121119364,0.237294987,0.386716078,0.528585151,0.642217506,0.724722712,0.780488835,0.815261546,0.834418659,0.842592599,0.843582102,0.840355489,0.835116544
45,0.007501508,0.049576592,0.004974006,0.101468795,0.193408674,0.258929297,0.297410094,0.315391459,0.319003691,0.312634145,0.299375004,0.281496928,0.260709917,0.238300985
